Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,FG%.1,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Performance
Nic Claxton,C,23.0,BRK,56.0,56.0,29.4,5.5,7.6,0.715,"0,715",0.0,0.0,0.0,5.5,7.6,0.718,0.715,1.7,3.3,0.511,2.5,6.5,9.0,1.7,0.8,2.6,1.3,2.8,12.6,Bad
Amir Coffey,SG,25.0,LAC,41.0,9.0,13.9,1.3,3.3,0.39,"0,390",0.2,0.9,0.27,1.0,2.4,0.434,0.426,1.1,1.3,0.818,0.4,0.9,1.2,1.2,0.2,0.1,0.4,1.2,3.9,Bad
John Collins,PF,25.0,ATL,51.0,51.0,31.0,5.2,10.2,0.508,"0,508",0.8,3.2,0.256,4.4,7.0,0.624,0.548,2.0,2.5,0.813,1.1,5.9,7.0,1.2,0.7,1.2,1.2,3.2,13.2,Bad
Zach Collins,C,25.0,SAS,50.0,13.0,21.4,4.0,7.5,0.532,"0,532",0.6,1.8,0.36,3.3,5.7,0.586,0.575,1.6,2.1,0.745,1.8,4.2,6.0,2.6,0.5,0.6,1.9,3.2,10.2,Bad
Mike Conley,PG,35.0,TOT,48.0,47.0,29.8,3.5,8.7,0.406,"0,406",1.8,5.0,0.361,1.7,3.7,0.466,0.51,1.7,2.1,0.812,0.4,2.0,2.5,7.5,1.0,0.2,1.7,2.1,10.5,Bad
Mike Conley,PG,35.0,UTA,43.0,42.0,29.7,3.6,8.7,0.408,"0,408",1.8,5.0,0.362,1.8,3.8,0.469,0.511,1.8,2.2,0.813,0.4,2.1,2.5,7.7,1.0,0.2,1.7,2.2,10.7,Bad
Mike Conley,PG,35.0,MIN,5.0,5.0,31.2,3.2,8.2,0.39,"0,390",1.8,5.0,0.36,1.4,3.2,0.438,0.5,0.8,1.0,0.8,0.6,1.6,2.2,5.6,1.2,0.2,1.4,1.8,9.0,Bad
Pat Connaughton,SG,30.0,MIL,42.0,25.0,25.1,3.0,7.6,0.39,"0,390",2.0,5.8,0.348,0.9,1.8,0.527,0.524,0.4,0.7,0.607,0.8,4.2,5.0,1.3,0.7,0.1,0.6,1.1,8.3,Bad
Robert Covington,PF,32.0,LAC,36.0,0.0,16.2,1.9,4.7,0.406,"0,406",1.0,2.9,0.333,0.9,1.8,0.523,0.509,0.7,0.9,0.735,0.7,3.0,3.7,1.3,0.7,0.8,0.6,1.9,5.5,Bad
Torrey Craig,SF,32.0,PHO,59.0,49.0,25.8,3.0,6.6,0.452,"0,452",1.3,3.2,0.405,1.7,3.4,0.497,0.551,0.5,0.6,0.73,2.1,3.7,5.8,1.6,0.7,0.6,1.0,2.4,7.7,Bad
Jae Crowder,SF,32.0,MIL,2.0,0.0,20.5,2.5,4.0,0.625,"0,625",2.0,2.5,0.8,0.5,1.5,0.333,0.875,1.0,2.0,0.5,0.5,2.5,3.0,1.0,1.0,0.0,1.0,2.5,8.0,Bad
Jarrett Culver,SG,23.0,ATL,10.0,1.0,13.7,1.7,4.3,0.395,"0,395",0.1,1.2,0.083,1.6,3.1,0.516,0.407,0.9,1.3,0.692,1.0,2.8,3.8,0.6,0.6,0.2,0.7,1.4,4.4,Bad
Cade Cunningham,PG,21.0,DET,12.0,12.0,33.3,7.8,18.7,0.415,"0,415",1.4,5.1,0.279,6.3,13.6,0.466,0.453,3.0,3.6,0.837,1.0,5.2,6.2,6.0,0.8,0.6,3.3,2.8,19.9,Bad
Seth Curry,SG,32.0,BRK,42.0,6.0,22.4,3.9,8.2,0.468,"0,468",1.8,4.3,0.423,2.0,3.9,0.518,0.579,0.8,0.8,0.971,0.3,1.6,1.9,2.0,0.6,0.2,1.0,1.8,10.4,Bad
Stephen Curry,PG,34.0,GSW,38.0,38.0,34.6,9.8,19.8,0.495,"0,495",4.9,11.4,0.427,4.9,8.4,0.588,0.619,5.0,5.4,0.922,0.6,5.8,6.3,6.4,1.0,0.4,3.2,2.2,29.4,Good
Dyson Daniels,PG,19.0,NOP,40.0,11.0,19.6,1.7,3.9,0.445,"0,445",0.5,1.5,0.333,1.2,2.4,0.516,0.51,0.5,0.7,0.621,0.7,2.8,3.5,2.5,0.9,0.3,1.1,1.9,4.4,Bad
Anthony Davis,C,29.0,LAL,37.0,35.0,33.2,9.7,17.2,0.564,"0,564",0.4,1.5,0.241,9.4,15.8,0.593,0.574,6.0,7.4,0.813,3.3,9.1,12.4,2.5,1.1,2.0,2.1,2.7,25.7,Good
Johnny Davis,SG,20.0,WAS,13.0,0.0,4.8,0.5,1.4,0.333,"0,333",0.1,0.3,0.25,0.4,1.1,0.357,0.361,0.2,0.2,0.001,0.1,0.5,0.6,0.2,0.1,0.1,0.2,1.0,1.2,Bad
Terence Davis,SG,25.0,SAC,47.0,4.0,13.9,2.6,5.9,0.446,"0,446",1.4,3.8,0.382,1.2,2.1,0.561,0.569,0.7,0.7,0.886,0.4,2.0,2.4,1.3,0.8,0.3,0.9,1.9,7.3,Bad
JD Davison,PG,20.0,BOS,6.0,0.0,2.3,0.3,1.3,0.25,"0,250",0.0,0.5,0.0,0.3,0.8,0.4,0.25,0.0,0.0,,0.0,0.3,0.3,0.2,0.2,0.0,0.2,0.0,0.7,Bad
Darius Days,PF,23.0,HOU,4.0,0.0,6.3,1.3,3.0,0.417,"0,417",0.8,2.5,0.3,0.5,0.5,0.001,0.542,0.5,0.5,0.001,0.3,1.3,1.5,0.3,0.0,0.3,0.0,0.5,3.8,Bad
Dewayne Dedmon,C,33.0,MIA,30.0,0.0,11.7,2.1,4.3,0.496,"0,496",0.4,1.2,0.297,1.8,3.1,0.576,0.539,1.1,1.5,0.727,0.9,2.7,3.6,0.5,0.2,0.5,0.6,2.0,5.7,Bad
Matthew Dellavedova,PG,32.0,SAC,25.0,0.0,5.9,0.5,1.3,0.364,"0,364",0.2,0.6,0.375,0.2,0.7,0.353,0.455,0.1,0.2,0.6,0.0,0.3,0.4,1.3,0.2,0.0,0.3,0.6,1.3,Bad
DeMar DeRozan,SF,33.0,CHI,55.0,55.0,36.1,9.1,17.9,0.51,"0,510",0.5,1.6,0.307,8.7,16.3,0.529,0.523,6.5,7.4,0.881,0.4,4.2,4.6,5.1,1.0,0.5,2.2,2.7,25.3,Good
Moussa Diabaté,PF,21.0,LAC,18.0,1.0,9.6,1.2,2.2,0.525,"0,525",0.1,0.1,0.5,1.1,2.1,0.526,0.538,0.6,0.9,0.625,1.6,0.9,2.5,0.2,0.3,0.3,0.5,0.7,2.9,Bad
Mamadi Diakite,PF,26.0,CLE,16.0,2.0,6.1,0.7,1.6,0.423,"0,423",0.3,0.9,0.267,0.4,0.7,0.636,0.5,0.0,0.0,,0.2,0.6,0.8,0.1,0.1,0.4,0.4,0.8,1.6,Bad
Hamidou Diallo,SG,24.0,DET,53.0,0.0,17.2,3.7,6.4,0.581,"0,581",0.1,0.4,0.263,3.6,6.0,0.6,0.588,1.5,2.6,0.591,1.0,2.4,3.4,0.9,1.0,0.3,1.2,2.2,9.1,Bad
Gorgui Dieng,C,33.0,SAS,21.0,1.0,9.6,1.1,3.0,0.387,"0,387",0.6,2.0,0.279,0.6,0.9,0.632,0.484,0.2,0.3,0.833,0.9,1.8,2.6,1.4,0.1,0.3,0.8,1.4,3.1,Bad
Ousmane Dieng,SF,19.0,OKC,19.0,0.0,14.9,1.7,4.1,0.416,"0,416",0.7,2.4,0.289,1.0,1.7,0.594,0.5,0.1,0.3,0.4,0.4,2.2,2.6,1.4,0.3,0.3,0.6,1.2,4.2,Bad
Spencer Dinwiddie,PG,29.0,TOT,59.0,59.0,34.1,5.8,13.0,0.448,"0,448",2.5,6.4,0.394,3.3,6.6,0.5,0.544,3.3,4.0,0.828,0.3,2.8,3.2,5.3,0.8,0.3,1.7,2.4,17.5,Bad
Spencer Dinwiddie,PG,29.0,DAL,53.0,53.0,34.1,6.0,13.1,0.455,"0,455",2.6,6.4,0.405,3.4,6.7,0.504,0.555,3.2,3.9,0.821,0.4,2.7,3.1,5.3,0.7,0.3,1.7,2.3,17.7,Bad
Spencer Dinwiddie,PG,29.0,BRK,6.0,6.0,34.0,4.7,12.3,0.378,"0,378",1.7,5.8,0.286,3.0,6.5,0.462,0.446,4.5,5.2,0.871,0.2,3.7,3.8,5.7,1.0,0.0,2.0,2.5,15.5,Bad
Donte DiVincenzo,SG,26.0,GSW,51.0,16.0,25.6,3.2,7.3,0.436,"0,436",2.1,5.1,0.416,1.1,2.2,0.482,0.582,0.7,0.9,0.818,0.9,3.3,4.2,3.3,1.4,0.1,1.5,1.8,9.2,Bad
Luka Dončić,PG,23.0,DAL,52.0,52.0,36.4,11.2,22.1,0.504,"0,504",2.7,7.8,0.35,8.4,14.3,0.589,0.566,8.0,11.0,0.732,0.9,7.9,8.8,8.1,1.5,0.5,3.7,2.6,33.1,Good
Tyler Dorsey,SG,26.0,DAL,3.0,0.0,2.7,1.3,1.7,0.8,"0,800",0.3,0.7,0.5,1.0,1.0,0.001,0.9,0.0,0.0,,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0,3.0,Bad
Luguentz Dort,SG,23.0,OKC,53.0,52.0,30.2,4.8,11.8,0.406,"0,406",1.9,5.4,0.349,2.9,6.5,0.453,0.485,2.6,3.5,0.76,1.5,2.9,4.4,2.2,1.0,0.3,1.3,3.2,14.1,Bad
Ayo Dosunmu,SG,23.0,CHI,59.0,49.0,28.3,3.8,7.7,0.494,"0,494",0.8,2.6,0.318,3.0,5.1,0.583,0.547,0.9,1.1,0.806,0.7,2.4,3.1,2.8,0.7,0.3,1.4,2.5,9.3,Bad
Devon Dotson,PG,23.0,WAS,6.0,0.0,8.8,0.2,1.7,0.1,"0,100",0.2,0.7,0.25,0.0,1.0,0.0,0.15,0.0,0.0,,1.0,0.7,1.7,1.3,0.8,0.0,0.5,1.5,0.5,Bad
Jeff Dowtin,PG,25.0,TOR,18.0,0.0,8.8,1.1,2.4,0.442,"0,442",0.2,0.6,0.273,0.9,1.8,0.5,0.477,0.2,0.2,0.75,0.3,0.6,0.9,0.9,0.2,0.1,0.3,0.6,2.4,Bad
PJ Dozier,SG,26.0,SAC,4.0,0.0,2.5,0.5,0.8,0.667,"0,667",0.3,0.5,0.5,0.3,0.3,0.001,0.833,0.0,0.0,,0.0,0.5,0.5,0.0,0.8,0.0,0.0,0.0,1.3,Bad
Goran Dragić,PG,36.0,CHI,51.0,0.0,15.4,2.5,5.9,0.425,"0,425",0.9,2.5,0.352,1.6,3.4,0.48,0.5,0.5,0.8,0.659,0.3,1.1,1.4,2.7,0.2,0.1,1.1,1.2,6.4,Bad
Andre Drummond,C,29.0,CHI,48.0,0.0,13.0,2.7,4.4,0.624,"0,624",0.0,0.0,0.0,2.7,4.3,0.63,0.624,1.0,1.9,0.522,2.2,4.5,6.7,0.6,0.7,0.3,1.1,1.9,6.5,Bad
Chris Duarte,SF,25.0,IND,38.0,10.0,19.1,2.6,7.2,0.364,"0,364",1.1,3.8,0.301,1.5,3.4,0.434,0.443,1.5,1.8,0.836,0.4,2.1,2.4,1.4,0.5,0.2,0.9,1.5,7.8,Bad
David Duke Jr.,SG,23.0,BRK,16.0,0.0,8.8,1.3,3.0,0.438,"0,438",0.0,0.4,0.0,1.3,2.6,0.5,0.438,0.3,0.5,0.5,0.4,0.6,0.9,0.8,0.4,0.1,0.8,1.6,2.9,Bad
Kris Dunn,PG,28.0,UTA,2.0,0.0,20.0,6.0,11.5,0.522,"0,522",1.0,3.5,0.286,5.0,8.0,0.625,0.565,0.0,1.0,0.0,1.5,2.5,4.0,4.5,1.5,0.5,0.5,3.0,13.0,Bad
Kevin Durant,PF,34.0,BRK,39.0,39.0,36.0,10.5,18.8,0.559,"0,559",1.8,4.8,0.376,8.7,14.0,0.622,0.607,6.8,7.3,0.934,0.4,6.4,6.7,5.3,0.8,1.5,3.5,2.4,29.7,Good
Jalen Duren,C,19.0,DET,52.0,27.0,25.1,3.6,5.6,0.645,"0,645",0.0,0.0,0.0,3.6,5.6,0.647,0.645,1.3,2.2,0.611,3.3,5.4,8.7,1.1,0.6,0.9,1.2,2.7,8.5,Bad
Tari Eason,PF,21.0,HOU,60.0,3.0,19.6,3.4,7.6,0.442,"0,442",0.7,2.0,0.347,2.7,5.7,0.475,0.487,1.3,1.7,0.75,2.3,3.4,5.6,1.0,1.1,0.6,1.1,2.2,8.7,Bad
Anthony Edwards,SG,21.0,MIN,63.0,63.0,36.3,9.0,19.5,0.46,"0,460",2.7,7.3,0.363,6.3,12.2,0.518,0.528,4.2,5.4,0.776,0.6,5.3,5.9,4.5,1.7,0.7,3.4,2.5,24.7,Good
Kessler Edwards,SF,22.0,TOT,16.0,1.0,5.8,0.4,1.8,0.214,"0,214",0.1,0.9,0.143,0.3,0.9,0.286,0.25,0.1,0.1,0.5,0.4,0.6,1.0,0.3,0.2,0.1,0.3,0.2,0.9,Bad
Kessler Edwards,SF,22.0,BRK,14.0,1.0,5.6,0.4,1.7,0.25,"0,250",0.1,0.9,0.167,0.3,0.9,0.333,0.292,0.1,0.1,0.5,0.4,0.6,1.0,0.1,0.2,0.1,0.3,0.2,1.1,Bad
Kessler Edwards,SF,22.0,SAC,2.0,0.0,7.0,0.0,2.0,0.0,"0,000",0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Bad
Keon Ellis,SG,23.0,SAC,9.0,0.0,4.0,0.7,1.1,0.6,"0,600",0.6,0.9,0.625,0.1,0.2,0.5,0.85,0.2,0.3,0.667,0.3,0.4,0.8,0.3,0.2,0.1,0.1,0.7,2.1,Bad
Joel Embiid,C,28.0,PHI,48.0,48.0,35.1,10.9,20.6,0.532,"0,532",1.0,3.1,0.338,9.9,17.5,0.566,0.557,10.1,11.7,0.86,1.8,8.6,10.4,4.1,1.1,1.6,3.5,3.2,33.0,Good
Drew Eubanks,C,25.0,POR,58.0,15.0,19.6,2.5,3.7,0.681,"0,681",0.1,0.1,0.429,2.4,3.6,0.689,0.688,1.0,1.5,0.659,1.7,3.3,5.0,1.2,0.5,1.2,0.8,2.2,6.0,Bad
Bruno Fernando,C,24.0,TOT,33.0,4.0,11.2,1.5,2.9,0.521,"0,521",0.0,0.0,0.0,1.5,2.9,0.526,0.521,0.9,1.3,0.682,1.5,2.3,3.8,0.9,0.2,0.9,0.7,2.1,3.9,Bad
Bruno Fernando,C,24.0,HOU,31.0,4.0,11.7,1.5,3.0,0.516,"0,516",0.0,0.0,0.0,1.5,3.0,0.522,0.516,1.0,1.4,0.682,1.5,2.4,3.9,1.0,0.2,1.0,0.6,2.2,4.1,Bad
Bruno Fernando,C,24.0,ATL,2.0,0.0,3.0,1.0,1.5,0.667,"0,667",0.0,0.0,,1.0,1.5,0.667,0.667,0.0,0.0,,0.5,0.5,1.0,0.5,0.0,0.0,1.0,0.5,2.0,Bad
Dorian Finney-Smith,PF,29.0,TOT,46.0,46.0,31.8,3.1,7.7,0.408,"0,408",1.8,5.3,0.342,1.3,2.4,0.555,0.525,0.7,1.0,0.733,1.7,3.3,5.0,1.5,0.9,0.4,0.9,2.1,8.8,Bad
Dorian Finney-Smith,PF,29.0,DAL,40.0,40.0,32.2,3.2,7.8,0.416,"0,416",1.9,5.4,0.355,1.3,2.3,0.559,0.54,0.8,1.0,0.75,1.7,3.0,4.7,1.5,1.0,0.5,0.9,2.0,9.1,Bad
Dorian Finney-Smith,PF,29.0,BRK,6.0,6.0,29.3,2.5,7.2,0.349,"0,349",1.0,4.3,0.231,1.5,2.8,0.529,0.419,0.5,0.8,0.6,1.8,4.8,6.7,1.3,0.3,0.0,1.0,2.8,6.5,Bad
Malachi Flynn,PG,24.0,TOR,43.0,1.0,13.7,1.7,4.7,0.37,"0,370",1.0,2.6,0.378,0.7,2.1,0.36,0.475,0.4,0.6,0.708,0.3,1.2,1.5,1.5,0.4,0.1,0.4,1.3,4.8,Bad
Simone Fontecchio,SF,27.0,UTA,33.0,0.0,9.9,1.3,3.6,0.35,"0,350",0.8,2.5,0.305,0.5,1.2,0.447,0.454,0.5,0.7,0.773,0.5,0.6,1.1,0.5,0.2,0.2,0.5,1.0,3.8,Bad
Bryn Forbes,SG,29.0,MIN,25.0,0.0,10.7,1.2,3.3,0.361,"0,361",0.6,1.8,0.304,0.6,1.5,0.432,0.446,0.6,0.6,0.001,0.2,0.4,0.6,0.7,0.3,0.1,0.5,0.9,3.6,Bad
Trent Forrest,PG,24.0,ATL,18.0,3.0,13.3,1.3,2.8,0.48,"0,480",0.0,0.1,0.0,1.3,2.7,0.5,0.48,0.1,0.2,0.667,0.3,1.3,1.6,1.7,0.3,0.1,0.6,0.9,2.8,Bad
Michael Foster Jr.,PF,20.0,PHI,1.0,0.0,1.0,0.0,0.0,,"0,000",0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bad
Evan Fournier,SG,30.0,NYK,23.0,7.0,18.0,2.3,6.6,0.351,"0,351",1.4,4.4,0.324,0.9,2.1,0.408,0.46,0.8,0.9,0.857,0.2,1.8,2.0,1.5,0.6,0.1,0.8,1.9,6.8,Bad
De'Aaron Fox,PG,25.0,SAC,55.0,55.0,34.1,9.4,18.3,0.515,"0,515",1.6,4.8,0.331,7.9,13.5,0.581,0.559,4.9,6.3,0.786,0.5,3.8,4.3,6.3,1.1,0.3,2.7,2.5,25.4,Good
Markelle Fultz,PG,24.0,ORL,41.0,41.0,29.2,5.4,10.9,0.5,"0,500",0.4,1.3,0.309,5.0,9.5,0.527,0.519,1.9,2.4,0.786,1.3,2.8,4.0,5.5,1.5,0.4,2.3,2.0,13.2,Bad
Wenyen Gabriel,PF,25.0,LAL,47.0,2.0,15.2,2.6,4.2,0.617,"0,617",0.2,0.6,0.3,2.4,3.5,0.675,0.64,0.8,1.3,0.623,1.6,2.2,3.8,0.5,0.3,0.5,0.7,2.2,6.1,Bad
Daniel Gafford,C,24.0,WAS,58.0,27.0,18.8,3.4,4.6,0.747,"0,747",0.0,0.0,,3.4,4.6,0.747,0.747,1.6,2.4,0.641,2.0,3.4,5.3,0.9,0.4,1.3,1.0,2.3,8.4,Bad
Darius Garland,PG,23.0,CLE,54.0,54.0,35.1,7.5,16.1,0.468,"0,468",2.6,6.1,0.421,5.0,10.0,0.496,0.547,4.3,4.9,0.868,0.4,2.2,2.6,7.9,1.3,0.1,2.9,2.1,21.9,Good
Usman Garuba,PF,20.0,HOU,53.0,1.0,13.5,1.2,2.3,0.532,"0,532",0.3,0.6,0.485,0.9,1.7,0.549,0.597,0.4,0.7,0.528,1.6,2.8,4.4,0.9,0.7,0.5,0.6,1.7,3.2,Bad
Luka Garza,C,24.0,MIN,23.0,0.0,9.1,2.3,4.4,0.529,"0,529",0.6,1.6,0.361,1.8,2.9,0.621,0.593,1.7,2.1,0.792,1.3,1.2,2.4,0.6,0.1,0.0,0.4,1.5,6.9,Bad
Rudy Gay,PF,36.0,UTA,46.0,0.0,14.5,1.8,4.8,0.378,"0,378",0.5,2.2,0.232,1.3,2.7,0.496,0.43,0.7,0.8,0.857,0.6,2.3,2.9,0.9,0.3,0.3,0.6,1.2,4.8,Bad
Paul George,SG,32.0,LAC,46.0,46.0,34.4,8.1,17.5,0.461,"0,461",2.9,7.7,0.384,5.1,9.8,0.522,0.545,4.4,5.0,0.875,0.7,5.4,6.1,5.2,1.4,0.4,3.3,2.7,23.5,Good
Taj Gibson,C,37.0,WAS,38.0,2.0,10.0,1.4,2.6,0.535,"0,535",0.1,0.4,0.235,1.3,2.2,0.598,0.556,0.6,0.9,0.676,0.7,1.3,2.0,0.8,0.3,0.3,0.5,1.9,3.5,Bad
Josh Giddey,SG,20.0,OKC,55.0,55.0,30.9,7.0,14.5,0.484,"0,484",0.9,2.9,0.309,6.1,11.5,0.528,0.515,1.3,1.7,0.769,2.0,5.8,7.7,5.8,0.8,0.5,3.0,2.1,16.2,Bad
Shai Gilgeous-Alexander,PG,24.0,OKC,54.0,54.0,35.5,10.2,20.2,0.507,"0,507",0.9,2.6,0.338,9.4,17.6,0.532,0.528,9.6,10.6,0.908,0.9,3.9,4.7,5.7,1.6,1.1,2.9,2.7,31.0,Good
Anthony Gill,PF,30.0,WAS,42.0,4.0,10.0,1.2,2.0,0.607,"0,607",0.1,0.5,0.158,1.1,1.5,0.738,0.625,0.6,0.8,0.771,0.5,0.8,1.4,0.5,0.1,0.2,0.2,1.2,3.1,Bad
Rudy Gobert,C,30.0,MIN,51.0,51.0,30.5,5.1,7.6,0.679,"0,679",0.0,0.1,0.0,5.1,7.5,0.684,0.679,3.1,4.6,0.671,3.2,8.4,11.6,0.9,0.8,1.3,1.7,2.9,13.4,Bad
Jordan Goodwin,PG,24.0,WAS,41.0,4.0,18.1,2.4,5.3,0.449,"0,449",0.6,1.7,0.382,1.7,3.6,0.48,0.509,0.8,1.1,0.75,0.9,2.4,3.3,2.5,1.0,0.5,0.9,1.7,6.2,Bad
Aaron Gordon,PF,27.0,DEN,50.0,50.0,30.2,6.5,11.2,0.583,"0,583",1.0,2.6,0.382,5.5,8.6,0.645,0.628,3.0,4.9,0.623,2.4,4.5,6.8,2.9,0.8,0.8,1.6,1.9,17.1,Bad
Eric Gordon,SG,34.0,TOT,51.0,47.0,29.6,4.3,9.8,0.434,"0,434",1.8,5.0,0.35,2.5,4.8,0.523,0.524,2.3,2.8,0.821,0.3,1.8,2.1,2.9,0.6,0.4,1.7,1.0,12.6,Bad
Eric Gordon,SG,34.0,HOU,47.0,47.0,30.2,4.5,10.2,0.439,"0,439",1.8,5.2,0.347,2.7,5.0,0.536,0.528,2.3,2.9,0.815,0.3,1.8,2.1,2.9,0.6,0.4,1.8,1.0,13.1,Bad
Eric Gordon,SG,34.0,LAC,4.0,0.0,23.3,1.8,5.5,0.318,"0,318",1.3,3.0,0.417,0.5,2.5,0.2,0.432,2.3,2.5,0.9,0.3,1.8,2.0,3.5,0.8,0.8,0.5,1.5,7.0,Bad
Devonte' Graham,PG,27.0,TOT,59.0,1.0,16.6,1.9,5.2,0.362,"0,362",1.4,4.1,0.343,0.5,1.1,0.435,0.498,1.0,1.3,0.747,0.3,1.2,1.5,2.4,0.6,0.2,0.5,0.9,6.1,Bad
Devonte' Graham,PG,27.0,NOP,53.0,0.0,15.3,1.6,4.4,0.368,"0,368",1.2,3.6,0.347,0.4,0.8,0.463,0.511,0.8,1.1,0.746,0.2,1.1,1.4,2.2,0.6,0.2,0.5,0.9,5.3,Bad
Devonte' Graham,PG,27.0,SAS,6.0,1.0,28.2,4.2,12.2,0.342,"0,342",2.8,8.7,0.327,1.3,3.5,0.381,0.459,2.5,3.3,0.75,0.8,1.7,2.5,4.7,0.8,0.7,0.8,1.3,13.7,Bad
Jerami Grant,PF,28.0,POR,55.0,55.0,35.6,7.1,14.6,0.484,"0,484",2.3,5.5,0.407,4.8,9.0,0.532,0.562,4.3,5.3,0.807,0.9,3.5,4.3,2.3,0.8,0.8,1.8,2.4,20.6,Good
A.J. Green,SG,23.0,MIL,27.0,0.0,9.7,1.6,3.6,0.449,"0,449",1.3,3.0,0.427,0.3,0.6,0.563,0.628,0.1,0.1,0.001,0.1,0.9,1.1,0.6,0.2,0.0,0.3,1.0,4.7,Bad
Danny Green,SG,35.0,TOT,6.0,0.0,11.8,1.0,3.2,0.316,"0,316",1.0,2.5,0.4,0.0,0.7,0.0,0.474,0.2,0.2,0.001,0.2,0.7,0.8,0.3,0.3,0.2,0.8,1.5,3.2,Bad
Danny Green,SG,35.0,MEM,3.0,0.0,14.3,1.0,3.7,0.273,"0,273",1.0,2.7,0.375,0.0,1.0,0.0,0.409,0.0,0.0,,0.3,1.0,1.3,0.7,0.3,0.0,1.0,2.0,3.0,Bad
Danny Green,SG,35.0,CLE,3.0,0.0,9.3,1.0,2.7,0.375,"0,375",1.0,2.3,0.429,0.0,0.3,0.0,0.563,0.3,0.3,0.001,0.0,0.3,0.3,0.0,0.3,0.3,0.7,1.0,3.3,Bad
Draymond Green,PF,32.0,GSW,53.0,53.0,31.5,3.2,6.2,0.517,"0,517",0.6,1.8,0.33,2.6,4.4,0.594,0.565,1.1,1.5,0.7,0.9,6.5,7.4,6.8,1.0,0.8,2.6,3.0,8.1,Bad
Jalen Green,SG,20.0,HOU,54.0,54.0,33.9,7.3,17.8,0.409,"0,409",2.5,7.6,0.333,4.7,10.1,0.467,0.481,4.7,5.9,0.788,0.6,3.4,4.0,3.6,0.8,0.2,2.9,1.7,21.8,Good
JaMychal Green,PF,32.0,GSW,41.0,1.0,14.7,2.4,4.6,0.516,"0,516",0.7,2.0,0.349,1.7,2.6,0.645,0.592,0.9,1.2,0.714,1.3,2.6,3.9,1.0,0.5,0.3,1.1,2.0,6.3,Bad
Javonte Green,SG,29.0,CHI,28.0,1.0,16.0,2.2,3.7,0.587,"0,587",0.5,1.2,0.382,1.7,2.5,0.686,0.649,1.0,1.5,0.674,0.9,2.0,2.9,0.8,0.8,0.7,0.7,1.7,5.9,Bad
Jeff Green,PF,36.0,DEN,39.0,3.0,19.4,3.1,6.2,0.498,"0,498",0.4,1.7,0.25,2.6,4.4,0.595,0.533,1.5,2.1,0.707,0.7,1.8,2.5,1.2,0.4,0.3,0.9,1.9,8.1,Bad
Josh Green,SG,22.0,DAL,42.0,10.0,24.7,3.3,6.1,0.543,"0,543",1.2,2.9,0.421,2.1,3.2,0.652,0.643,1.4,2.0,0.714,0.9,1.8,2.7,1.6,0.8,0.1,1.0,2.6,9.3,Bad
AJ Griffin,SF,19.0,ATL,57.0,11.0,20.2,3.6,7.6,0.475,"0,475",1.5,3.7,0.392,2.2,3.9,0.554,0.57,0.5,0.6,0.875,0.5,1.6,2.1,1.0,0.7,0.1,0.6,1.2,9.2,Bad
Blake Griffin,C,33.0,BOS,27.0,12.0,14.1,1.7,3.5,0.5,"0,500",0.7,1.8,0.388,1.0,1.7,0.622,0.601,0.6,0.9,0.625,0.9,2.4,3.3,1.3,0.3,0.2,0.5,1.9,4.7,Bad
Quentin Grimes,SG,22.0,NYK,52.0,47.0,29.7,3.5,7.9,0.444,"0,444",1.8,5.2,0.351,1.7,2.7,0.62,0.559,1.1,1.3,0.8,0.8,2.5,3.3,1.9,0.6,0.4,1.0,2.5,9.9,Bad
Rui Hachimura,PF,24.0,TOT,43.0,8.0,24.5,4.9,10.1,0.48,"0,480",0.9,2.7,0.322,4.0,7.4,0.539,0.524,1.6,2.2,0.716,0.8,3.8,4.6,1.0,0.3,0.3,1.0,1.1,12.2,Bad
Rui Hachimura,PF,24.0,WAS,30.0,0.0,24.3,5.3,10.8,0.488,"0,488",1.0,3.0,0.337,4.3,7.8,0.545,0.534,1.5,1.9,0.759,0.6,3.6,4.3,1.2,0.4,0.4,1.2,1.3,13.0,Bad
Rui Hachimura,PF,24.0,LAL,13.0,8.0,24.9,3.9,8.5,0.459,"0,459",0.6,2.2,0.276,3.3,6.3,0.524,0.495,1.8,2.8,0.649,1.3,4.1,5.4,0.6,0.3,0.2,0.5,0.6,10.3,Bad
Tyrese Haliburton,PG,22.0,IND,50.0,50.0,33.6,7.1,14.8,0.482,"0,482",2.9,7.2,0.399,4.3,7.7,0.559,0.578,2.7,3.1,0.865,0.6,3.0,3.7,10.2,1.7,0.4,2.6,1.2,19.8,Bad
Jordan Hall,SF,21.0,SAS,9.0,0.0,9.2,1.0,3.1,0.321,"0,321",0.3,1.7,0.2,0.7,1.4,0.462,0.375,0.8,1.0,0.778,0.3,1.0,1.3,1.2,0.1,0.0,0.8,0.7,3.1,Bad
,,,,,,,,,,"0,000",,,,,,,,,,,,,,,,,,,,
