Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,FG%.1,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Performance
Admiral Schofield,PF,25.0,ORL,28.0,0.0,12.6,1.6,3.3,0.478,"0,478",0.6,1.9,0.333,0.9,1.4,0.684,0.576,0.6,0.7,0.895,0.7,1.2,1.9,0.8,0.2,0.1,0.2,1.9,4.4,Bad
Dennis Schröder,PG,29.0,LAL,47.0,42.0,30.7,4.0,9.5,0.424,"0,424",1.2,3.4,0.342,2.9,6.1,0.47,0.485,3.2,3.7,0.873,0.3,2.3,2.5,4.3,0.7,0.1,1.6,2.2,12.5,Bad
Dereon Seabron,SG,22.0,NOP,5.0,0.0,2.4,0.4,1.0,0.4,"0,400",0.0,0.0,,0.4,1.0,0.4,0.4,0.0,0.0,,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.8,Bad
Alperen Şengün,C,20.0,HOU,55.0,52.0,28.1,5.9,10.6,0.554,"0,554",0.2,0.7,0.333,5.7,9.9,0.57,0.565,3.0,3.9,0.751,3.2,5.5,8.8,3.8,0.8,0.9,2.5,3.4,15.0,Bad
Collin Sexton,SG,24.0,UTA,47.0,15.0,24.0,4.9,9.7,0.507,"0,507",1.0,2.5,0.41,3.9,7.2,0.54,0.559,3.4,4.2,0.822,0.8,1.4,2.2,2.9,0.6,0.1,1.8,2.3,14.3,Bad
Landry Shamet,SG,25.0,PHO,30.0,7.0,21.4,3.1,8.1,0.38,"0,380",2.0,5.4,0.377,1.0,2.7,0.388,0.506,1.4,1.5,0.911,0.3,1.4,1.7,2.2,0.6,0.2,1.0,1.5,9.5,Bad
Day'Ron Sharpe,C,21.0,BRK,33.0,2.0,10.4,1.7,3.1,0.545,"0,545",0.1,0.2,0.667,1.5,2.9,0.537,0.564,0.5,0.8,0.593,1.7,2.2,3.8,0.8,0.2,0.5,0.9,1.9,3.9,Bad
Shaedon Sharpe,SG,19.0,POR,59.0,5.0,20.2,3.2,6.7,0.471,"0,471",1.0,2.8,0.347,2.2,3.9,0.561,0.544,0.5,0.8,0.667,0.8,1.7,2.5,0.6,0.4,0.3,0.7,1.6,7.9,Bad
Pascal Siakam,C,28.0,TOR,52.0,52.0,37.5,9.1,19.0,0.479,"0,479",1.4,4.1,0.349,7.6,14.8,0.515,0.517,5.7,7.5,0.768,1.8,5.9,7.7,6.1,0.8,0.6,2.5,3.3,25.3,Good
Chris Silva,PF,26.0,DAL,1.0,0.0,3.0,1.0,1.0,0.001,"1,000",0.0,0.0,,1.0,1.0,0.001,0.001,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,Bad
